hour,isholiday,weekday,month,year,season,Vehicles
15,False,Sunday,11,2015,Fall,15
16,False,Sunday,11,2015,Fall,13
17,False,Sunday,11,2015,Fall,15
18,False,Sunday,11,2015,Fall,19
19,False,Sunday,11,2015,Fall,18
20,False,Sunday,11,2015,Fall,21
21,False,Sunday,11,2015,Fall,17
22,False,Sunday,11,2015,Fall,17
23,False,Sunday,11,2015,Fall,15
0,False,Monday,11,2015,Fall,17
1,False,Monday,11,2015,Fall,14
2,False,Monday,11,2015,Fall,13
3,False,Monday,11,2015,Fall,15
4,False,Monday,11,2015,Fall,12
5,False,Monday,11,2015,Fall,12
6,False,Monday,11,2015,Fall,13
7,False,Monday,11,2015,Fall,14
8,False,Monday,11,2015,Fall,13
9,False,Monday,11,2015,Fall,16
10,False,Monday,11,2015,Fall,26
11,False,Monday,11,2015,Fall,21
12,False,Monday,11,2015,Fall,26
13,False,Monday,11,2015,Fall,24
14,False,Monday,11,2015,Fall,26
15,False,Monday,11,2015,Fall,22
16,False,Monday,11,2015,Fall,24
17,False,Monday,11,2015,Fall,26
18,False,Monday,11,2015,Fall,23
19,False,Monday,11,2015,Fall,29
20,False,Monday,11,2015,Fall,31
21,False,Monday,11,2015,Fall,27
22,False,Monday,11,2015,Fall,27
23,False,Monday,11,2015,Fall,26
0,False,Tuesday,11,2015,Fall,23
1,False,Tuesday,11,2015,Fall,21
2,False,Tuesday,11,2015,Fall,19
3,False,Tuesday,11,2015,Fall,16
4,False,Tuesday,11,2015,Fall,11
5,False,Tuesday,11,2015,Fall,11
6,False,Tuesday,11,2015,Fall,15
7,False,Tuesday,11,2015,Fall,12
8,False,Tuesday,11,2015,Fall,12
9,False,Tuesday,11,2015,Fall,18
10,False,Tuesday,11,2015,Fall,31
11,False,Tuesday,11,2015,Fall,42
12,False,Tuesday,11,2015,Fall,37
13,False,Tuesday,11,2015,Fall,30
14,False,Tuesday,11,2015,Fall,33
15,False,Tuesday,11,2015,Fall,28
16,False,Tuesday,11,2015,Fall,29
17,False,Tuesday,11,2015,Fall,28
18,False,Tuesday,11,2015,Fall,28
19,False,Tuesday,11,2015,Fall,31
20,False,Tuesday,11,2015,Fall,28
21,False,Tuesday,11,2015,Fall,26
22,False,Tuesday,11,2015,Fall,26
23,False,Tuesday,11,2015,Fall,27
0,False,Wednesday,11,2015,Fall,24
1,False,Wednesday,11,2015,Fall,23
2,False,Wednesday,11,2015,Fall,20
3,False,Wednesday,11,2015,Fall,19
4,False,Wednesday,11,2015,Fall,20
5,False,Wednesday,11,2015,Fall,16
6,False,Wednesday,11,2015,Fall,19
7,False,Wednesday,11,2015,Fall,16
8,False,Wednesday,11,2015,Fall,17
9,False,Wednesday,11,2015,Fall,19
10,False,Wednesday,11,2015,Fall,30
11,False,Wednesday,11,2015,Fall,44
12,False,Wednesday,11,2015,Fall,35
13,False,Wednesday,11,2015,Fall,34
14,False,Wednesday,11,2015,Fall,31
15,False,Wednesday,11,2015,Fall,31
16,False,Wednesday,11,2015,Fall,28
17,False,Wednesday,11,2015,Fall,34
18,False,Wednesday,11,2015,Fall,37
19,False,Wednesday,11,2015,Fall,37
20,False,Wednesday,11,2015,Fall,34
21,False,Wednesday,11,2015,Fall,31
22,False,Wednesday,11,2015,Fall,29
23,False,Wednesday,11,2015,Fall,28
0,False,Thursday,11,2015,Fall,32
1,False,Thursday,11,2015,Fall,23
2,False,Thursday,11,2015,Fall,20
3,False,Thursday,11,2015,Fall,16
4,False,Thursday,11,2015,Fall,18
5,False,Thursday,11,2015,Fall,17
6,False,Thursday,11,2015,Fall,16
7,False,Thursday,11,2015,Fall,17
8,False,Thursday,11,2015,Fall,18
9,False,Thursday,11,2015,Fall,25
10,False,Thursday,11,2015,Fall,31
11,False,Thursday,11,2015,Fall,32
12,False,Thursday,11,2015,Fall,31
13,False,Thursday,11,2015,Fall,29
14,False,Thursday,11,2015,Fall,31
15,False,Thursday,11,2015,Fall,31
16,False,Thursday,11,2015,Fall,30
17,False,Thursday,11,2015,Fall,28
18,False,Thursday,11,2015,Fall,29
19,False,Thursday,11,2015,Fall,36
20,False,Thursday,11,2015,Fall,29
21,False,Thursday,11,2015,Fall,28
22,False,Thursday,11,2015,Fall,30
23,False,Thursday,11,2015,Fall,29
0,False,Friday,11,2015,Fall,24
1,False,Friday,11,2015,Fall,20
2,False,Friday,11,2015,Fall,15
3,False,Friday,11,2015,Fall,14
4,False,Friday,11,2015,Fall,13
5,False,Friday,11,2015,Fall,8
6,False,Friday,11,2015,Fall,12
7,False,Friday,11,2015,Fall,14
8,False,Friday,11,2015,Fall,15
9,False,Friday,11,2015,Fall,20
10,False,Friday,11,2015,Fall,26
11,False,Friday,11,2015,Fall,26
12,False,Friday,11,2015,Fall,26
13,False,Friday,11,2015,Fall,21
14,False,Friday,11,2015,Fall,26
15,False,Friday,11,2015,Fall,29
16,False,Friday,11,2015,Fall,20
17,False,Friday,11,2015,Fall,22
18,False,Friday,11,2015,Fall,25
19,False,Friday,11,2015,Fall,27
20,False,Friday,11,2015,Fall,26
21,False,Friday,11,2015,Fall,24
22,False,Friday,11,2015,Fall,25
23,False,Friday,11,2015,Fall,21
0,False,Saturday,11,2015,Fall,17
1,False,Saturday,11,2015,Fall,16
2,False,Saturday,11,2015,Fall,15
3,False,Saturday,11,2015,Fall,15
4,False,Saturday,11,2015,Fall,15
5,False,Saturday,11,2015,Fall,8
6,False,Saturday,11,2015,Fall,12
7,False,Saturday,11,2015,Fall,13
8,False,Saturday,11,2015,Fall,12
9,False,Saturday,11,2015,Fall,16
10,False,Saturday,11,2015,Fall,18
11,False,Saturday,11,2015,Fall,17
12,False,Saturday,11,2015,Fall,18
13,False,Saturday,11,2015,Fall,15
14,False,Saturday,11,2015,Fall,21
15,False,Saturday,11,2015,Fall,18
16,False,Saturday,11,2015,Fall,17
17,False,Saturday,11,2015,Fall,17
18,False,Saturday,11,2015,Fall,19
19,False,Saturday,11,2015,Fall,22
20,False,Saturday,11,2015,Fall,18
21,False,Saturday,11,2015,Fall,17
22,False,Saturday,11,2015,Fall,22
23,False,Saturday,11,2015,Fall,17
0,False,Sunday,11,2015,Fall,15
1,False,Sunday,11,2015,Fall,15
2,False,Sunday,11,2015,Fall,11
3,False,Sunday,11,2015,Fall,12
4,False,Sunday,11,2015,Fall,11
5,False,Sunday,11,2015,Fall,8
6,False,Sunday,11,2015,Fall,11
7,False,Sunday,11,2015,Fall,9
8,False,Sunday,11,2015,Fall,8
9,False,Sunday,11,2015,Fall,15
10,False,Sunday,11,2015,Fall,18
11,False,Sunday,11,2015,Fall,18
12,False,Sunday,11,2015,Fall,20
13,False,Sunday,11,2015,Fall,20
14,False,Sunday,11,2015,Fall,20
15,False,Sunday,11,2015,Fall,15
16,False,Sunday,11,2015,Fall,16
17,False,Sunday,11,2015,Fall,16
18,False,Sunday,11,2015,Fall,21
19,False,Sunday,11,2015,Fall,27
20,False,Sunday,11,2015,Fall,26
21,False,Sunday,11,2015,Fall,24
22,False,Sunday,11,2015,Fall,20
23,False,Sunday,11,2015,Fall,20
0,False,Monday,11,2015,Fall,21
1,False,Monday,11,2015,Fall,14
2,False,Monday,11,2015,Fall,16
3,False,Monday,11,2015,Fall,14
4,False,Monday,11,2015,Fall,11
5,False,Monday,11,2015,Fall,11
6,False,Monday,11,2015,Fall,9
7,False,Monday,11,2015,Fall,12
8,False,Monday,11,2015,Fall,16
9,False,Monday,11,2015,Fall,26
10,False,Monday,11,2015,Fall,33
11,False,Monday,11,2015,Fall,35
12,False,Monday,11,2015,Fall,33
13,False,Monday,11,2015,Fall,32
14,False,Monday,11,2015,Fall,28
15,False,Monday,11,2015,Fall,33
16,False,Monday,11,2015,Fall,27
17,False,Monday,11,2015,Fall,24
18,False,Monday,11,2015,Fall,27
19,False,Monday,11,2015,Fall,29
20,False,Monday,11,2015,Fall,26
21,False,Monday,11,2015,Fall,27
22,False,Monday,11,2015,Fall,28
23,False,Monday,11,2015,Fall,26
0,False,Tuesday,11,2015,Fall,23
1,False,Tuesday,11,2015,Fall,19
2,False,Tuesday,11,2015,Fall,18
3,False,Tuesday,11,2015,Fall,13
4,False,Tuesday,11,2015,Fall,12
5,False,Tuesday,11,2015,Fall,13
6,False,Tuesday,11,2015,Fall,16
7,False,Tuesday,11,2015,Fall,17
8,False,Tuesday,11,2015,Fall,23
9,False,Tuesday,11,2015,Fall,26
10,False,Tuesday,11,2015,Fall,29
11,False,Tuesday,11,2015,Fall,28
12,False,Tuesday,11,2015,Fall,31
13,False,Tuesday,11,2015,Fall,23
14,False,Tuesday,11,2015,Fall,28
15,False,Tuesday,11,2015,Fall,25
16,False,Tuesday,11,2015,Fall,24
17,False,Tuesday,11,2015,Fall,27
18,False,Tuesday,11,2015,Fall,28
19,False,Tuesday,11,2015,Fall,24
20,False,Tuesday,11,2015,Fall,29
21,False,Tuesday,11,2015,Fall,26
22,False,Tuesday,11,2015,Fall,25
23,False,Tuesday,11,2015,Fall,23
0,False,Wednesday,11,2015,Fall,21
1,False,Wednesday,11,2015,Fall,16
2,False,Wednesday,11,2015,Fall,16
3,False,Wednesday,11,2015,Fall,15
4,False,Wednesday,11,2015,Fall,11
5,False,Wednesday,11,2015,Fall,9
6,False,Wednesday,11,2015,Fall,10
7,False,Wednesday,11,2015,Fall,14
8,False,Wednesday,11,2015,Fall,17
9,False,Wednesday,11,2015,Fall,21
10,False,Wednesday,11,2015,Fall,28
11,False,Wednesday,11,2015,Fall,30
12,False,Wednesday,11,2015,Fall,29
13,False,Wednesday,11,2015,Fall,26
14,False,Wednesday,11,2015,Fall,26
15,False,Wednesday,11,2015,Fall,27
16,False,Wednesday,11,2015,Fall,26
17,False,Wednesday,11,2015,Fall,23
18,False,Wednesday,11,2015,Fall,28
19,False,Wednesday,11,2015,Fall,31
20,False,Wednesday,11,2015,Fall,26
21,False,Wednesday,11,2015,Fall,24
22,False,Wednesday,11,2015,Fall,24
23,False,Wednesday,11,2015,Fall,21
0,False,Thursday,11,2015,Fall,22
1,False,Thursday,11,2015,Fall,16
2,False,Thursday,11,2015,Fall,13
3,False,Thursday,11,2015,Fall,11
4,False,Thursday,11,2015,Fall,13
5,False,Thursday,11,2015,Fall,12
6,False,Thursday,11,2015,Fall,11
7,False,Thursday,11,2015,Fall,13
8,False,Thursday,11,2015,Fall,11
9,False,Thursday,11,2015,Fall,21
10,False,Thursday,11,2015,Fall,32
11,False,Thursday,11,2015,Fall,33
12,False,Thursday,11,2015,Fall,26
13,False,Thursday,11,2015,Fall,25
14,False,Thursday,11,2015,Fall,30
15,False,Thursday,11,2015,Fall,30
16,False,Thursday,11,2015,Fall,28
17,False,Thursday,11,2015,Fall,25
18,False,Thursday,11,2015,Fall,24
19,False,Thursday,11,2015,Fall,29
20,False,Thursday,11,2015,Fall,31
21,False,Thursday,11,2015,Fall,26
22,False,Thursday,11,2015,Fall,28
23,False,Thursday,11,2015,Fall,21
0,False,Friday,11,2015,Fall,20
1,False,Friday,11,2015,Fall,19
2,False,Friday,11,2015,Fall,14
3,False,Friday,11,2015,Fall,11
4,False,Friday,11,2015,Fall,9
5,False,Friday,11,2015,Fall,11
6,False,Friday,11,2015,Fall,10
7,False,Friday,11,2015,Fall,9
8,False,Friday,11,2015,Fall,16
9,False,Friday,11,2015,Fall,21
10,False,Friday,11,2015,Fall,33
11,False,Friday,11,2015,Fall,29
12,False,Friday,11,2015,Fall,28
13,False,Friday,11,2015,Fall,26
14,False,Friday,11,2015,Fall,27
15,False,Friday,11,2015,Fall,29
16,False,Friday,11,2015,Fall,26
17,False,Friday,11,2015,Fall,27
18,False,Friday,11,2015,Fall,27
19,False,Friday,11,2015,Fall,30
20,False,Friday,11,2015,Fall,24
21,False,Friday,11,2015,Fall,24
22,False,Friday,11,2015,Fall,24
23,False,Friday,11,2015,Fall,23
0,False,Saturday,11,2015,Fall,21
1,False,Saturday,11,2015,Fall,13
2,False,Saturday,11,2015,Fall,16
3,False,Saturday,11,2015,Fall,11
4,False,Saturday,11,2015,Fall,10
5,False,Saturday,11,2015,Fall,8
6,False,Saturday,11,2015,Fall,11
7,False,Saturday,11,2015,Fall,10
8,False,Saturday,11,2015,Fall,16
9,False,Saturday,11,2015,Fall,19
10,False,Saturday,11,2015,Fall,21
11,False,Saturday,11,2015,Fall,25
12,False,Saturday,11,2015,Fall,21
13,False,Saturday,11,2015,Fall,18
14,False,Saturday,11,2015,Fall,18
15,False,Saturday,11,2015,Fall,22
16,False,Saturday,11,2015,Fall,18
17,False,Saturday,11,2015,Fall,16
18,False,Saturday,11,2015,Fall,16
19,False,Saturday,11,2015,Fall,26
20,False,Saturday,11,2015,Fall,28
21,False,Saturday,11,2015,Fall,22
22,False,Saturday,11,2015,Fall,22
23,False,Saturday,11,2015,Fall,21
0,False,Sunday,11,2015,Fall,22
1,False,Sunday,11,2015,Fall,17
2,False,Sunday,11,2015,Fall,13
3,False,Sunday,11,2015,Fall,10
4,False,Sunday,11,2015,Fall,12
5,False,Sunday,11,2015,Fall,12
6,False,Sunday,11,2015,Fall,9
7,False,Sunday,11,2015,Fall,13
8,False,Sunday,11,2015,Fall,14
9,False,Sunday,11,2015,Fall,18
10,False,Sunday,11,2015,Fall,20
11,False,Sunday,11,2015,Fall,21
12,False,Sunday,11,2015,Fall,22
13,False,Sunday,11,2015,Fall,17
14,False,Sunday,11,2015,Fall,20
15,False,Sunday,11,2015,Fall,19
16,False,Sunday,11,2015,Fall,20
17,False,Sunday,11,2015,Fall,20
18,False,Sunday,11,2015,Fall,21
19,False,Sunday,11,2015,Fall,20
20,False,Sunday,11,2015,Fall,22
21,False,Sunday,11,2015,Fall,24
22,False,Sunday,11,2015,Fall,21
23,False,Sunday,11,2015,Fall,18
0,False,Monday,11,2015,Fall,20
